Item,,,,,Conduction,,,
"",Location,Year,Make / Model,Plate #,,Color,Mileage,Minimun Bid Price
No.,,,,,Sticker No.,,,
1158,THE SIGNATURE,2022,KIA SOLUTO 1.4 EX AT GAS,CBE4980,X0T178,SILVER METALLIC,"24,036","589,050.00"
1159,ENTRATA,2020,KIA SOLUTO 1.4 LX MT,DAQ2429,X0I356,BLACK,"30,730","362,100.00"
1160,MARCELO GREEN,2022,KIA SOLUTO 1.4L EX AT,DAR5150,X0S378,MERCATO RED,"13,424","483,300.00"
1161,MARCELO GREEN,2019,KIA SPORTAGE 2.0 LX AT 4X2 GAS,NGP5592,X0D212,WHITE,"20,635","805,600.00"
1162,MARCELO GREEN,2014,KIA SPORTAGE 4X2,AAX8778,,BLACK CHERRY,"89,786","317,800.00"
1163,PROMENADE,2023,KIA STONIC 1.4 LX AT,DBN1961,X0Y845,WHITE,"1,996","670,700.00"
1164,PROMENADE,2023,KIA STONIC 1.4 LX AT,DBH6155,X0W043,RED,"3,751","673,550.00"
1165,ENTRATA,2023,KIA STONIC 1.4 LX MT,,X0V973,PRIME RED,"10,631","549,100.00"
1166,SANFORD,2014,MAZDA 2 V 1.3L SEDAN MT GAS,AAY2008,RJ4252,BLACK,"84,596","259,000.00"
1167,ENTRATA,2020,MAZDA 3 7G SDN 1.5 AT ELITE,CAU4002,O0I029,MACHINE GRAY,"48,555","847,000.00"
1168,ENTRATA,2023,MG ZS 1.5 NA 4AT STYLE GAS,NIK9016,W2B419,RED,"8,810","670,000.00"
1169,SANFORD,2014,MITSUBISHI  STRADA GLS-V 4X4 MT,AMA6085,BY7894,SILVER,unavailable,"239,700.00"
"",,,MITSUBISHI ADVENTURE GLS SPORT DSL 2.5 MT 9,,,,,
1170,MARCELO GREEN,2015,,NBX3346,NI9457,WHITE,"143,865","353,000.00"
"",,,STR,,,,,
1171,MARCELO GREEN,2016,MITSUBISHI ADVENTURE GLX DSL MT,NCG1034,NP3218,POLAR WHITE,"257,863","215,000.00"
1172,STA. MARIA,2018,MITSUBISHI L200 STRADA GLS 2.4L 2WD AT,,B4B285,PEARL WHITE,"95,858","518,050.00"
1173,AXIS TOWER,2022,MITSUBISHI L300 C/C 2.2D MT W/ FB BODY,NIB8715,Y0J042,POLAR WHITE,"81,853","421,200.00"
1174,AXIS TOWER,2023,MITSUBISHI L300 C/C 2.2D MT W/ FB BODY,,Y2W455,POLAR WHITE,"9,645","593,600.00"
1175,ENTRATA,2023,MITSUBISHI L300 C/C 2.2D MT W/ FB BODY,NFA2482,Y2F781,POLAR WHITE,"17,844","837,000.00"
1176,MARCELO GREEN,2023,MITSUBISHI L300 C/C 2.2D MT W/ FB BODY,NIG9839,Y1G745,POLAR WHITE,"45,760","676,600.00"
1177,STA. MARIA,2020,MITSUBISHI L300 C/C 2.2D MT W/ FB BODY,,B6J929,POLAR WHITE,"269,907","186,000.00"
1178,MARCELO GREEN,2023,MITSUBISHI L300 C/C 2.2D MT W/FB BODY,,Y3S157,POLAR WHITE,"12,145","631,500.00"
1179,PROMENADE,2023,MITSUBISHI L300 C/C 2.2D MT WITH FB BODY W/ D,NIL2450,Y2C137,POLAR WHITE,"7,196","850,000.00"
"",,,MITSUBISHI L300 C/C 2.2D MT WITH FB BODY,,,,,
1180,MARCELO GREEN,2022,,NIB8318,B9X591,POLAR WHITE,"71,738","574,600.00"
"",,,W/DU,,,,,
